true_label,teks_final,pred_final,correct,pred_run1,pred_run2,pred_run3,pred_run4,pred_run5
11. Bahaya Elektrikal,"[DESKRIPSI]: Instalasi AC ( TBC) elektrik [LOKASI]: (B8) Workshop Champoin, Bays Champions",11. Bahaya Elektrikal,True,11. Bahaya Elektrikal,11. Bahaya Elektrikal,11. Bahaya Elektrikal,11. Bahaya Elektrikal,11. Bahaya Elektrikal
Non TBC,"[DESKRIPSI]: lampu dalam anjungan mati [LOKASI]: Towing Tug, TB DSL 07",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: waktunya ganti filter racor ME [LOKASI]: Towing Tug, TB KSA 29",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: charger tidak dilepas ketika selesai digunakan [LOKASI]: (B8) Infrastucture Tambang, Office Champion",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
12. Bahaya Biologis,"[DESKRIPSI]: Terdapat tanaman merambat dan rumput liar lebat yanh yang berpotensi menjadi sarang ular [LOKASI]: Office PT KDC, Akses dan Infrastruktur Office KDC",Non TBC,False,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Ditemukan rambu rebah [LOKASI]: (B PMO) Project, Project Underpass BC PMO",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
5. Deviasi Loading/Dumping,"[DESKRIPSI]: Dump limiter belum terupdate [LOKASI]: Pit West, Front Dumping",5. Deviasi Loading/Dumping,True,5. Deviasi Loading/Dumping,5. Deviasi Loading/Dumping,5. Deviasi Loading/Dumping,5. Deviasi Loading/Dumping,5. Deviasi Loading/Dumping
Non TBC,"[DESKRIPSI]: Ember bukan tempatnya [LOKASI]: Towing Tug, TB KSA 105",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Genset Towerlamp 192 belum di lengkapi dengan APAR [LOKASI]: ROM Central, Parkiran Unit",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: sampah tidak di buang pada tempatnya [LOKASI]: [BUMA] Mess Kalimantan,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Safety line lepas [LOKASI]: (B8) Area Kritis Blok 8, (B8) Drill & Blast",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Jalan lombok undulating [LOKASI]: (B8) Road Management, Jln. Lombok",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Buggy whip robek, segera diganti [LOKASI]: Project Mess PAMA",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Dumping tumpuk tumpuk [LOKASI]: Handling Soil East KDC, Dumping Stocksoil East KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: cover lampu rusak [LOKASI]: Floating Crane, CTS Bulk Sumatera",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: Terdapat hose angin melintang di bay workshop tidak di rapikan berpotensi terinjak unit dan mengenai pekerja [LOKASI]: Workshop Meteorit C2HU,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,"[DESKRIPSI]: Penerangan area front loading EX 213 tidak standar [LOKASI]: Pit East 2, Loading Point Coal",4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,True,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur
Non TBC,"[DESKRIPSI]: Lobang bor belum di sonding [LOKASI]: (B8) Area Kritis Blok 8, (B8) Drill & Blast",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: TH 002 KIP APAR bulan februari belum di Inspeksi [LOKASI]: (B PMO) Workshop, Workshop Temporary KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Tali mengganggu jalan ditongkang [LOKASI]: Towing Tug, TB BERAU 22",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Terdapat Coal Oversize Pada Dumpingan PTR di Rom 3 [LOKASI]: (B PMO) ROM, ROM 3 KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: terdapat ceceran oli di lantai workshop setelah perbaikan [LOKASI]: Workshop MIJ,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Lubang ledak belum disounding [LOKASI]: (B8) Road Management, Jln. Anyer",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Apar tw 242 belum di inspeksi du bulan Februari [LOKASI]: Workshop Fabrikasi Pama, Bays SSE",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Tempat sampa tidak ada label [LOKASI]: Towing Tug, TB KSA 73",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Bolham lampu engine room putus [LOKASI]: Towing Tug, TB PANCARAN 613",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Terdapat spoil di area akses [LOKASI]: Area Revegetasi, Project Akatara",12. Bahaya Biologis,False,12. Bahaya Biologis,12. Bahaya Biologis,12. Bahaya Biologis,12. Bahaya Biologis,12. Bahaya Biologis
Non TBC,"[DESKRIPSI]: Sampah tidak di buang pada tempatnya [LOKASI]: (B8) Workshop Temporary MIJ, Open Yard MIJ",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: komunikasi crowded [LOKASI]: (B8) Pit CD, Disposal",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: Temuan sampah dibuang tidak pada tempatnya [LOKASI]: Warehouse PT. BC SMO,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: Sepatu tidak di rapikan [LOKASI]: Warehouse MTL,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Balon lampu bukan pada tempatnya [LOKASI]: Towing Tug, TB KSA 105",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Jalan berdebu perlu penyiraman [LOKASI]: (B8) Pit J, Disposal",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Lampuh belakang loader mati [LOKASI]: Floating Crane, Heavy Equipment",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Grizzly tersumbat [LOKASI]: Coal Crushing Plant (CPP), Akses Jalan area CPP",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Tumpukan batubara di area tripper [LOKASI]: Floating Crane, FLF Ocean Flow",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Lap kaki tidak pada tempatnya [LOKASI]: Towing Tug, TB KSA 159",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Demarkasi cctv rusak [LOKASI]: (B PMO) Project, Project Underpass BC PMO",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
