tasklist_id,label,deskripsi,lokasi,detail_lokasi,lokasi_merged,teks_final
8235457,Non TBC,Rambu arah Disposal belum terpasang,(B8) Pit J,Disposal,"(B8) Pit J, Disposal","[DESKRIPSI]: Rambu arah Disposal belum terpasang [LOKASI]: (B8) Pit J, Disposal"
8241313,Non TBC,Bolham lampu engine room putus,Towing Tug,TB PANCARAN 613,"Towing Tug, TB PANCARAN 613","[DESKRIPSI]: Bolham lampu engine room putus [LOKASI]: Towing Tug, TB PANCARAN 613"
8237742,Non TBC,Penyempitan jln,Unit Transportasi Massal,Unit Transportasi Darat,"Unit Transportasi Massal, Unit Transportasi Darat","[DESKRIPSI]: Penyempitan jln [LOKASI]: Unit Transportasi Massal, Unit Transportasi Darat"
8237449,Non TBC,komunikasi crowded,(B8) Pit CD,Disposal,"(B8) Pit CD, Disposal","[DESKRIPSI]: komunikasi crowded [LOKASI]: (B8) Pit CD, Disposal"
8201405,10. Tools Tidak Standard / Penggunaan Tools Tidak Tepat,TBC-Tidak terdapat safety latch pada chainblock,Pit SE2,Area DM Wheel,"Pit SE2, Area DM Wheel","[DESKRIPSI]: TBC-Tidak terdapat safety latch pada chainblock [LOKASI]: Pit SE2, Area DM Wheel"
8235002,Non TBC,jalan cekung atau berlubang,Pit East 1,Akses Mine Road,"Pit East 1, Akses Mine Road","[DESKRIPSI]: jalan cekung atau berlubang [LOKASI]: Pit East 1, Akses Mine Road"
8238560,3. Geotech & Hydrology,terdapat windrow yang tertutup lumpur sehingga saat ujan air tidak bisa mengalir ke drainase dan menjadikan genangan,(B PMO) Pit Q1,Drainage Tambang KDC,"(B PMO) Pit Q1, Drainage Tambang KDC","[DESKRIPSI]: terdapat windrow yang tertutup lumpur sehingga saat ujan air tidak bisa mengalir ke drainase dan menjadikan genangan [LOKASI]: (B PMO) Pit Q1, Drainage Tambang KDC"
8239663,Non TBC,Jalan inderapura segmen 2 undulating,Pit PQRT,Disposal,"Pit PQRT, Disposal","[DESKRIPSI]: Jalan inderapura segmen 2 undulating [LOKASI]: Pit PQRT, Disposal"
8239338,14. Technology,"CCTV 010, unit diparkiran tanpa demarkasi",Pit SE2,Parkir Area/ HSSC,"Pit SE2, Parkir Area/ HSSC","[DESKRIPSI]: CCTV 010, unit diparkiran tanpa demarkasi [LOKASI]: Pit SE2, Parkir Area/ HSSC"
8238176,Non TBC,Monitor cctv belum menyala,Towing Tug,TB PANCARAN 215,"Towing Tug, TB PANCARAN 215","[DESKRIPSI]: Monitor cctv belum menyala [LOKASI]: Towing Tug, TB PANCARAN 215"
8237563,Non TBC,Disposal opw extend,Disposal OPDW Extend,Akses Area Front Dumping,"Disposal OPDW Extend, Akses Area Front Dumping","[DESKRIPSI]: Disposal opw extend [LOKASI]: Disposal OPDW Extend, Akses Area Front Dumping"
8237562,Non TBC,Cas hp lupa dicabut,Towing Tug,TB KSA 103,"Towing Tug, TB KSA 103","[DESKRIPSI]: Cas hp lupa dicabut [LOKASI]: Towing Tug, TB KSA 103"
8237552,Non TBC,Cas ht lupa dicabut,Towing Tug,TB KSA 103,"Towing Tug, TB KSA 103","[DESKRIPSI]: Cas ht lupa dicabut [LOKASI]: Towing Tug, TB KSA 103"
8235626,Non TBC,Rantai dafra kapal belom di mani,Towing Tug,TB PANCARAN 315,"Towing Tug, TB PANCARAN 315","[DESKRIPSI]: Rantai dafra kapal belom di mani [LOKASI]: Towing Tug, TB PANCARAN 315"
8232427,10. Tools Tidak Standard / Penggunaan Tools Tidak Tepat,#TBC sackle alat angkat sudah tidak standard,(B8) Workshop Champoin,Bays Champions,"(B8) Workshop Champoin, Bays Champions","[DESKRIPSI]: #TBC sackle alat angkat sudah tidak standard [LOKASI]: (B8) Workshop Champoin, Bays Champions"
8238662,Non TBC,Lampu dalam belum di nyalakan,Towing Tug,TB KSA 105,"Towing Tug, TB KSA 105","[DESKRIPSI]: Lampu dalam belum di nyalakan [LOKASI]: Towing Tug, TB KSA 105"
7316818,3. Geotech & Hydrology,terdapat kantungan air pada area disposal ipd sidewall selatan yang tidak lancar mengalir ke void qsv 1,,,,[DESKRIPSI]: terdapat kantungan air pada area disposal ipd sidewall selatan yang tidak lancar mengalir ke void qsv 1
8237012,Non TBC,Jalan disposal bergelombang,Pit East 1,Front loading OB,"Pit East 1, Front loading OB","[DESKRIPSI]: Jalan disposal bergelombang [LOKASI]: Pit East 1, Front loading OB"
8236218,Non TBC,"Lampu anjungan mati,tidak ada",Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: Lampu anjungan mati,tidak ada [LOKASI]: Towing Tug, TB KSA 104"
8236020,Non TBC,Belum terdapat cheklist di APAR,Towing Tug,TB KSA 87,"Towing Tug, TB KSA 87","[DESKRIPSI]: Belum terdapat cheklist di APAR [LOKASI]: Towing Tug, TB KSA 87"
8235976,Non TBC,Apar tidak ada ceklis inspeksi,Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: Apar tidak ada ceklis inspeksi [LOKASI]: Towing Tug, TB KSA 104"
8235731,Non TBC,Checklist apar tidak terpasang,Towing Tug,TB KSA 100,"Towing Tug, TB KSA 100","[DESKRIPSI]: Checklist apar tidak terpasang [LOKASI]: Towing Tug, TB KSA 100"
7015293,5. Deviasi Loading/Dumping,Terdapat Free dump pada area EFG Timur dekat waterfill,,,,[DESKRIPSI]: Terdapat Free dump pada area EFG Timur dekat waterfill
8240390,Non TBC,Jalan berdebu area front CD,(B8) Pit CD,Front Loading OB,"(B8) Pit CD, Front Loading OB","[DESKRIPSI]: Jalan berdebu area front CD [LOKASI]: (B8) Pit CD, Front Loading OB"
8239380,Non TBC,Tali tambat kapal berantakan,Towing Tug,TB PANCARAN 311,"Towing Tug, TB PANCARAN 311","[DESKRIPSI]: Tali tambat kapal berantakan [LOKASI]: Towing Tug, TB PANCARAN 311"
8238793,Non TBC,Life Jacket tidak pada tempatnya,Assist Tug Sungai,INTAN MEGAH 06,"Assist Tug Sungai, INTAN MEGAH 06","[DESKRIPSI]: Life Jacket tidak pada tempatnya [LOKASI]: Assist Tug Sungai, INTAN MEGAH 06"
8238008,Non TBC,Bohlam lampu sudah mati,Towing Tug,TB KSA 78,"Towing Tug, TB KSA 78","[DESKRIPSI]: Bohlam lampu sudah mati [LOKASI]: Towing Tug, TB KSA 78"
8235994,Non TBC,Cctv mati,Coal Crushing Plant (CPP),Jetty / Dermaga Barging,"Coal Crushing Plant (CPP), Jetty / Dermaga Barging","[DESKRIPSI]: Cctv mati [LOKASI]: Coal Crushing Plant (CPP), Jetty / Dermaga Barging"
8235142,Non TBC,Abnormal aktivitas,Office MTL,Office CHCPP MTL,"Office MTL, Office CHCPP MTL","[DESKRIPSI]: Abnormal aktivitas [LOKASI]: Office MTL, Office CHCPP MTL"
8235020,Non TBC,Rambu rebah,(B PMO) Hauling Road,Jalan Hauling Agatis KDC,"(B PMO) Hauling Road, Jalan Hauling Agatis KDC","[DESKRIPSI]: Rambu rebah [LOKASI]: (B PMO) Hauling Road, Jalan Hauling Agatis KDC"
8234829,Non TBC,Jalan lombok undulating,(B8) Road Management,Jln. Lombok,"(B8) Road Management, Jln. Lombok","[DESKRIPSI]: Jalan lombok undulating [LOKASI]: (B8) Road Management, Jln. Lombok"
8240097,Non TBC,safety line tidak diamankan,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: safety line tidak diamankan [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8238354,Non TBC,Closed eye,Hauling Road,Jalan Hauling Eboni MTL,"Hauling Road, Jalan Hauling Eboni MTL","[DESKRIPSI]: Closed eye [LOKASI]: Hauling Road, Jalan Hauling Eboni MTL"
8238971,3. Geotech & Hydrology,Belum terdapat acuan crest berpotensi pekerjaan tidak sesuai design,Pit EFG,Front Loading PAMA,"Pit EFG, Front Loading PAMA","[DESKRIPSI]: Belum terdapat acuan crest berpotensi pekerjaan tidak sesuai design [LOKASI]: Pit EFG, Front Loading PAMA"
8236459,Non TBC,Driver menguap lv 003,Coal Hauling Road,Jl. Barokah,"Coal Hauling Road, Jl. Barokah","[DESKRIPSI]: Driver menguap lv 003 [LOKASI]: Coal Hauling Road, Jl. Barokah"
8232832,10. Tools Tidak Standard / Penggunaan Tools Tidak Tepat,Eyeball belum dilakukan pengecekan pada bulan berjalan sehingga tidak bisa dipastikan keamanannya saat untuk melakukan pengangkatan,(B8) Container big Digger,Office,"(B8) Container big Digger, Office","[DESKRIPSI]: Eyeball belum dilakukan pengecekan pada bulan berjalan sehingga tidak bisa dipastikan keamanannya saat untuk melakukan pengangkatan [LOKASI]: (B8) Container big Digger, Office"
8240748,Non TBC,Penyempitan jalan,Pit West,Front Loading,"Pit West, Front Loading","[DESKRIPSI]: Penyempitan jalan [LOKASI]: Pit West, Front Loading"
8239397,Non TBC,Jalan berdebu,(B8) Road Management,Jln. Kaniungan,"(B8) Road Management, Jln. Kaniungan","[DESKRIPSI]: Jalan berdebu [LOKASI]: (B8) Road Management, Jln. Kaniungan"
8239206,Non TBC,Tumpukan batubara diarea bolder,Barge,BG PST 613,"Barge, BG PST 613","[DESKRIPSI]: Tumpukan batubara diarea bolder [LOKASI]: Barge, BG PST 613"
8241546,Non TBC,bendera sudah robek,Towing Tug,TB KSA 72,"Towing Tug, TB KSA 72","[DESKRIPSI]: bendera sudah robek [LOKASI]: Towing Tug, TB KSA 72"
8241097,Non TBC,Lampu di ruang ABK mati di ganti yang baru,Towing Tug,TB KSA 29,"Towing Tug, TB KSA 29","[DESKRIPSI]: Lampu di ruang ABK mati di ganti yang baru [LOKASI]: Towing Tug, TB KSA 29"
8239650,Non TBC,Posisi rambu 20 tidak sesuai (miring),(B PMO) Pit Q1,Simpang Batam KDC,"(B PMO) Pit Q1, Simpang Batam KDC","[DESKRIPSI]: Posisi rambu 20 tidak sesuai (miring) [LOKASI]: (B PMO) Pit Q1, Simpang Batam KDC"
8238544,Non TBC,Jalan berdebu perlu penyiraman,(B8) Pit J,Disposal,"(B8) Pit J, Disposal","[DESKRIPSI]: Jalan berdebu perlu penyiraman [LOKASI]: (B8) Pit J, Disposal"
8238257,Non TBC,Draf primsol tongkang pudar,Barge,BG PST 213,"Barge, BG PST 213","[DESKRIPSI]: Draf primsol tongkang pudar [LOKASI]: Barge, BG PST 213"
8237098,Non TBC,Genangan di jalur muatan front 1711,(B8) Pit J,Front Loading OB,"(B8) Pit J, Front Loading OB","[DESKRIPSI]: Genangan di jalur muatan front 1711 [LOKASI]: (B8) Pit J, Front Loading OB"
8236866,Non TBC,lampu dalam anjungan mati,Towing Tug,TB DSL 07,"Towing Tug, TB DSL 07","[DESKRIPSI]: lampu dalam anjungan mati [LOKASI]: Towing Tug, TB DSL 07"
8236747,Non TBC,TBC : tidak pakai sarung tangan,Fuel Station BC LMO,Fuel Station 2,"Fuel Station BC LMO, Fuel Station 2","[DESKRIPSI]: TBC : tidak pakai sarung tangan [LOKASI]: Fuel Station BC LMO, Fuel Station 2"
8240601,Non TBC,Kondisi jalan berdebu,Coal Hauling Road,Jl. Barokah,"Coal Hauling Road, Jl. Barokah","[DESKRIPSI]: Kondisi jalan berdebu [LOKASI]: Coal Hauling Road, Jl. Barokah"
8239808,Non TBC,Jalan berlubang,Workshop BMC,Akses Infrastruktur workshop BMC,Akses Infrastruktur workshop BMC,[DESKRIPSI]: Jalan berlubang [LOKASI]: Akses Infrastruktur workshop BMC
8238966,Non TBC,Sarung tangan sudah tidak layak,(B8) Mess - Kantin,Mess PAMA,"(B8) Mess - Kantin, Mess PAMA","[DESKRIPSI]: Sarung tangan sudah tidak layak [LOKASI]: (B8) Mess - Kantin, Mess PAMA"
8238114,Non TBC,Belum terpasang penamaan lampu emergency,Towing Tug,TB BERAU 22,"Towing Tug, TB BERAU 22","[DESKRIPSI]: Belum terpasang penamaan lampu emergency [LOKASI]: Towing Tug, TB BERAU 22"
8236344,Non TBC,panel lampu terdapat sampah,Towing Tug,TB KSA 72,"Towing Tug, TB KSA 72","[DESKRIPSI]: panel lampu terdapat sampah [LOKASI]: Towing Tug, TB KSA 72"
8236212,Non TBC,Belum p5m,(B8) Pit C2,Disposal,"(B8) Pit C2, Disposal","[DESKRIPSI]: Belum p5m [LOKASI]: (B8) Pit C2, Disposal"
8236182,Non TBC,Genangan air di akses jalan washing,Stockpile CPP,Washing Pad 01,"Stockpile CPP, Washing Pad 01","[DESKRIPSI]: Genangan air di akses jalan washing [LOKASI]: Stockpile CPP, Washing Pad 01"
8234833,Non TBC,Jalan menuju front loading undulating,Pit PQRT,Front Loading,"Pit PQRT, Front Loading","[DESKRIPSI]: Jalan menuju front loading undulating [LOKASI]: Pit PQRT, Front Loading"
8239148,Non TBC,Pintu tools box terbuka,Towing Tug,TB KSA 125,"Towing Tug, TB KSA 125","[DESKRIPSI]: Pintu tools box terbuka [LOKASI]: Towing Tug, TB KSA 125"
8238555,Non TBC,jalan berdebu,(B PMO) Pit K1,Mine Road Access K1 KDC,"(B PMO) Pit K1, Mine Road Access K1 KDC","[DESKRIPSI]: jalan berdebu [LOKASI]: (B PMO) Pit K1, Mine Road Access K1 KDC"
8237532,Non TBC,Lampu Office Mati total,Warehouse,Warehouse KM 30 BC,Warehouse KM 30 BC,[DESKRIPSI]: Lampu Office Mati total [LOKASI]: Warehouse KM 30 BC
8237273,Non TBC,Wilnat tidak lengkap,Office MTL,Office Cokelat,"Office MTL, Office Cokelat","[DESKRIPSI]: Wilnat tidak lengkap [LOKASI]: Office MTL, Office Cokelat"
8236974,Non TBC,Jalan malioboro berdebu,(B8) Pit CD,Front Loading OB,"(B8) Pit CD, Front Loading OB","[DESKRIPSI]: Jalan malioboro berdebu [LOKASI]: (B8) Pit CD, Front Loading OB"
